,Value
2022-07-20 20:17:00+00:00,1460.3999999999996
2022-07-20 20:27:00+00:00,1466.3999999999996
2022-07-20 20:37:00+00:00,1462.3999999999996
2022-07-20 20:47:00+00:00,1464.3999999999996
2022-07-20 20:57:00+00:00,1471.3999999999996
2022-07-20 21:07:00+00:00,1454.3999999999996
2022-07-20 21:17:00+00:00,1467.3999999999996
2022-07-20 21:27:00+00:00,1459.3999999999996
2022-07-20 21:37:00+00:00,1456.3999999999996
2022-07-20 21:47:00+00:00,1457.3999999999996
2022-07-20 21:57:00+00:00,1463.3999999999996
2022-07-20 22:07:00+00:00,1462.3999999999996
2022-07-20 22:17:00+00:00,1460.3999999999996
2022-07-20 22:27:00+00:00,1471.3999999999996
2022-07-20 22:37:00+00:00,1472.3999999999996
2022-07-20 22:47:00+00:00,1468.3999999999996
2022-07-20 22:57:00+00:00,1468.3999999999996
2022-07-20 23:07:00+00:00,1468.3999999999996
2022-07-20 23:17:00+00:00,1464.3999999999996
2022-07-20 23:27:00+00:00,1466.3999999999996
2022-07-20 23:37:00+00:00,1466.3999999999996
2022-07-20 23:47:00+00:00,1458.3999999999996
2022-07-20 23:57:00+00:00,1465.3999999999996
2022-07-21 00:07:00+00:00,1464.3999999999996
2022-07-21 00:17:00+00:00,1462.3999999999996
2022-07-21 00:27:00+00:00,1464.3999999999996
2022-07-21 00:37:00+00:00,1464.3999999999996
2022-07-21 00:47:00+00:00,1461.3999999999996
2022-07-21 00:57:00+00:00,1461.3999999999996
2022-07-21 01:07:00+00:00,1461.3999999999996
2022-07-21 01:17:00+00:00,1460.3999999999996
2022-07-21 01:27:00+00:00,1460.3999999999996
2022-07-21 01:37:00+00:00,1457.3999999999996
2022-07-21 01:47:00+00:00,1453.3999999999996
2022-07-21 01:57:00+00:00,1454.3999999999996
2022-07-21 02:07:00+00:00,1455.3999999999996
2022-07-21 02:17:00+00:00,1448.3999999999996
2022-07-21 02:27:00+00:00,1445.3999999999996
2022-07-21 02:37:00+00:00,1440.3999999999996
2022-07-21 02:47:00+00:00,1443.3999999999996
2022-07-21 02:57:00+00:00,1440.3999999999996
2022-07-21 03:07:00+00:00,1433.3999999999996
2022-07-21 03:17:00+00:00,1428.3999999999996
2022-07-21 03:27:00+00:00,1419.3999999999996
2022-07-21 03:37:00+00:00,1415.3999999999996
2022-07-21 03:47:00+00:00,1420.3999999999996
2022-07-21 03:57:00+00:00,1416.3999999999996
2022-07-21 04:07:00+00:00,1417.3999999999996
2022-07-21 04:17:00+00:00,1411.3999999999996
2022-07-21 04:27:00+00:00,1417.3999999999996
2022-07-21 04:37:00+00:00,1411.3999999999996
2022-07-21 04:47:00+00:00,1411.3999999999996
2022-07-21 04:57:00+00:00,1406.3999999999996
2022-07-21 05:07:00+00:00,1402.3999999999996
2022-07-21 05:17:00+00:00,1402.3999999999996
2022-07-21 05:27:00+00:00,1396.3999999999996
2022-07-21 05:37:00+00:00,1403.3999999999996
2022-07-21 05:47:00+00:00,1393.3999999999996
2022-07-21 05:57:00+00:00,1392.3999999999996
2022-07-21 06:07:00+00:00,1391.3999999999996
2022-07-21 06:17:00+00:00,1392.3999999999996
2022-07-21 06:27:00+00:00,1391.3999999999996
2022-07-21 06:37:00+00:00,1387.3999999999996
2022-07-21 06:47:00+00:00,1391.3999999999996
2022-07-21 06:57:00+00:00,1391.3999999999996
2022-07-21 07:07:00+00:00,1384.3999999999996
2022-07-21 07:17:00+00:00,1379.3999999999996
2022-07-21 07:27:00+00:00,1383.3999999999996
2022-07-21 07:37:00+00:00,1385.3999999999996
2022-07-21 07:47:00+00:00,1380.3999999999996
2022-07-21 07:57:00+00:00,1377.3999999999996
2022-07-21 08:07:00+00:00,1380.3999999999996
2022-07-21 08:17:00+00:00,1382.3999999999996
2022-07-21 08:27:00+00:00,1379.3999999999996
2022-07-21 08:37:00+00:00,1382.3999999999996
2022-07-21 08:47:00+00:00,1384.3999999999996
2022-07-21 08:57:00+00:00,1372.3999999999996
2022-07-21 09:07:00+00:00,1381.3999999999996
2022-07-21 09:17:00+00:00,1382.3999999999996
2022-07-21 09:27:00+00:00,1382.3999999999996
2022-07-21 09:37:00+00:00,1380.3999999999996
2022-07-21 09:47:00+00:00,1378.3999999999996
2022-07-21 09:57:00+00:00,1380.3999999999996
2022-07-21 10:07:00+00:00,1376.3999999999996
2022-07-21 10:17:00+00:00,1378.3999999999996
2022-07-21 10:27:00+00:00,1379.3999999999996
2022-07-21 10:37:00+00:00,1379.3999999999996
2022-07-21 10:47:00+00:00,1385.3999999999996
2022-07-21 10:57:00+00:00,1388.3999999999996
2022-07-21 11:07:00+00:00,1382.3999999999996
2022-07-21 11:17:00+00:00,1384.3999999999996
2022-07-21 11:27:00+00:00,1377.3999999999996
2022-07-21 11:37:00+00:00,1375.3999999999996
2022-07-21 11:47:00+00:00,1373.3999999999996
2022-07-21 11:57:00+00:00,1367.3999999999996
2022-07-21 12:07:00+00:00,1373.3999999999996
2022-07-21 12:17:00+00:00,1370.3999999999996
2022-07-21 12:27:00+00:00,1372.3999999999996
2022-07-21 12:37:00+00:00,1370.3999999999996
2022-07-21 12:47:00+00:00,1366.3999999999996
2022-07-21 12:57:00+00:00,1369.3999999999996
2022-07-21 13:07:00+00:00,1366.3999999999996
2022-07-21 13:17:00+00:00,1370.3999999999996
2022-07-21 13:27:00+00:00,1370.3999999999996
2022-07-21 13:37:00+00:00,1372.3999999999996
2022-07-21 13:47:00+00:00,1373.3999999999996
2022-07-21 13:57:00+00:00,1375.3999999999996
2022-07-21 14:07:00+00:00,1379.3999999999996
2022-07-21 14:17:00+00:00,1379.3999999999996
2022-07-21 14:27:00+00:00,1376.3999999999996
2022-07-21 14:37:00+00:00,1381.3999999999996
2022-07-21 14:47:00+00:00,1379.3999999999996
2022-07-21 14:57:00+00:00,1388.3999999999996
2022-07-21 15:07:00+00:00,1382.3999999999996
2022-07-21 15:17:00+00:00,1378.3999999999996
2022-07-21 15:27:00+00:00,1381.3999999999996
2022-07-21 15:37:00+00:00,1379.3999999999996
2022-07-21 15:47:00+00:00,1384.3999999999996
2022-07-21 15:57:00+00:00,1381.3999999999996
2022-07-21 16:07:00+00:00,1379.3999999999996
2022-07-21 16:17:00+00:00,1385.3999999999996
2022-07-21 16:27:00+00:00,1375.3999999999996
2022-07-21 16:37:00+00:00,1378.3999999999996
2022-07-21 16:47:00+00:00,1378.3999999999996
2022-07-21 16:57:00+00:00,1377.3999999999996
2022-07-21 17:07:00+00:00,1374.3999999999996
2022-07-21 17:17:00+00:00,1382.3999999999996
2022-07-21 17:27:00+00:00,1382.3999999999996
2022-07-21 17:37:00+00:00,1381.3999999999996
2022-07-21 17:47:00+00:00,1356.3999999999996
2022-07-21 17:57:00+00:00,1375.3999999999996
2022-07-21 18:07:00+00:00,1377.3999999999996
2022-07-21 18:17:00+00:00,1380.3999999999996
2022-07-21 18:27:00+00:00,1377.3999999999996
2022-07-21 18:37:00+00:00,1387.3999999999996
2022-07-21 18:47:00+00:00,1373.3999999999996
2022-07-21 18:57:00+00:00,1377.3999999999996
2022-07-21 19:07:00+00:00,1368.3999999999996
2022-07-21 19:17:00+00:00,1374.3999999999996
2022-07-21 19:27:00+00:00,1365.3999999999996
2022-07-21 19:37:00+00:00,1364.3999999999996
2022-07-21 19:47:00+00:00,1370.3999999999996
2022-07-21 19:57:00+00:00,1366.3999999999996
2022-07-21 20:07:00+00:00,1372.3999999999996
2022-07-21 20:17:00+00:00,1362.3999999999996
2022-07-21 20:27:00+00:00,1365.3999999999996
2022-07-21 20:37:00+00:00,1362.3999999999996
2022-07-21 20:47:00+00:00,1364.3999999999996
2022-07-21 20:57:00+00:00,1363.3999999999996
2022-07-21 21:07:00+00:00,1365.3999999999996
2022-07-21 21:17:00+00:00,1363.3999999999996
2022-07-21 21:27:00+00:00,1358.3999999999996
2022-07-21 21:37:00+00:00,1358.3999999999996
2022-07-21 21:47:00+00:00,1362.3999999999996
2022-07-21 21:57:00+00:00,1361.3999999999996
2022-07-21 22:07:00+00:00,1360.3999999999996
2022-07-21 22:17:00+00:00,1358.3999999999996
2022-07-21 22:27:00+00:00,1360.3999999999996
2022-07-21 22:37:00+00:00,1364.3999999999996
2022-07-21 22:47:00+00:00,1357.3999999999996
2022-07-21 22:57:00+00:00,1360.3999999999996
2022-07-21 23:07:00+00:00,1361.3999999999996
2022-07-21 23:17:00+00:00,1362.3999999999996
2022-07-21 23:27:00+00:00,1364.3999999999996
2022-07-21 23:37:00+00:00,1357.3999999999996
2022-07-21 23:47:00+00:00,1329.3999999999996
2022-07-21 23:57:00+00:00,1333.3999999999996
2022-07-22 00:07:00+00:00,1344.3999999999996
2022-07-22 00:17:00+00:00,1360.3999999999996
2022-07-22 00:27:00+00:00,1367.3999999999996
2022-07-22 00:37:00+00:00,1359.3999999999996
2022-07-22 00:47:00+00:00,1361.3999999999996
2022-07-22 00:57:00+00:00,1360.3999999999996
2022-07-22 01:07:00+00:00,1359.3999999999996
2022-07-22 01:17:00+00:00,1361.3999999999996
2022-07-22 01:27:00+00:00,1361.3999999999996
2022-07-22 01:37:00+00:00,1369.3999999999996
2022-07-22 01:47:00+00:00,1359.3999999999996
2022-07-22 01:57:00+00:00,1357.3999999999996
2022-07-22 02:07:00+00:00,1357.3999999999996
2022-07-22 02:17:00+00:00,1355.3999999999996
2022-07-22 02:27:00+00:00,1357.3999999999996
2022-07-22 02:37:00+00:00,1351.3999999999996
2022-07-22 02:47:00+00:00,1353.3999999999996
2022-07-22 02:57:00+00:00,1349.3999999999996
2022-07-22 03:07:00+00:00,1354.3999999999996
2022-07-22 03:17:00+00:00,1362.3999999999996
2022-07-22 03:27:00+00:00,1352.3999999999996
2022-07-22 03:37:00+00:00,1358.3999999999996
2022-07-22 03:47:00+00:00,1353.3999999999996
2022-07-22 03:57:00+00:00,1357.3999999999996
2022-07-22 04:07:00+00:00,1360.3999999999996
2022-07-22 04:17:00+00:00,1355.3999999999996
2022-07-22 04:27:00+00:00,1354.3999999999996
2022-07-22 04:37:00+00:00,1348.3999999999996
2022-07-22 04:47:00+00:00,1348.3999999999996
2022-07-22 04:57:00+00:00,1359.3999999999996
2022-07-22 05:07:00+00:00,1347.3999999999996
2022-07-22 05:17:00+00:00,1354.3999999999996
2022-07-22 05:27:00+00:00,1343.3999999999996
2022-07-22 05:37:00+00:00,1346.3999999999996
2022-07-22 05:47:00+00:00,1350.3999999999996
2022-07-22 05:57:00+00:00,1351.3999999999996
2022-07-22 06:07:00+00:00,1344.3999999999996
2022-07-22 06:17:00+00:00,1359.3999999999996
2022-07-22 06:27:00+00:00,1354.3999999999996
2022-07-22 06:37:00+00:00,1354.3999999999996
2022-07-22 06:47:00+00:00,1358.3999999999996
2022-07-22 06:57:00+00:00,1359.3999999999996
2022-07-22 07:07:00+00:00,1358.3999999999996
2022-07-22 07:17:00+00:00,1358.3999999999996
2022-07-22 07:27:00+00:00,1362.3999999999996
2022-07-22 07:37:00+00:00,1359.3999999999996
2022-07-22 07:47:00+00:00,1364.3999999999996
2022-07-22 07:57:00+00:00,1364.3999999999996
2022-07-22 08:07:00+00:00,1371.3999999999996
2022-07-22 08:17:00+00:00,1368.3999999999996
2022-07-22 08:27:00+00:00,1358.3999999999996
2022-07-22 08:37:00+00:00,1371.3999999999996
2022-07-22 08:47:00+00:00,1373.3999999999996
2022-07-22 08:57:00+00:00,1374.3999999999996
2022-07-22 09:07:00+00:00,1375.3999999999996
2022-07-22 09:17:00+00:00,1373.3999999999996
2022-07-22 09:27:00+00:00,1383.3999999999996
2022-07-22 09:37:00+00:00,1379.3999999999996
2022-07-22 09:47:00+00:00,1377.3999999999996
2022-07-22 09:57:00+00:00,1375.3999999999996
2022-07-22 10:07:00+00:00,1385.3999999999996
2022-07-22 10:17:00+00:00,1384.3999999999996
2022-07-22 10:27:00+00:00,1387.3999999999996
2022-07-22 10:37:00+00:00,1387.3999999999996
2022-07-22 10:47:00+00:00,1396.3999999999996
2022-07-22 10:57:00+00:00,1393.3999999999996
2022-07-22 11:07:00+00:00,1389.3999999999996
2022-07-22 11:17:00+00:00,1385.3999999999996
2022-07-22 11:27:00+00:00,1389.3999999999996
2022-07-22 11:37:00+00:00,1392.3999999999996
2022-07-22 11:47:00+00:00,1381.3999999999996
2022-07-22 11:57:00+00:00,1379.3999999999996
2022-07-22 12:07:00+00:00,1389.3999999999996
2022-07-22 12:17:00+00:00,1386.3999999999996
2022-07-22 12:27:00+00:00,1384.3999999999996
2022-07-22 12:37:00+00:00,1384.3999999999996
2022-07-22 12:47:00+00:00,1386.3999999999996
2022-07-22 12:57:00+00:00,1395.3999999999996
2022-07-22 13:07:00+00:00,1389.3999999999996
2022-07-22 13:17:00+00:00,1394.3999999999996
2022-07-22 13:27:00+00:00,1398.3999999999996
2022-07-22 13:37:00+00:00,1401.3999999999996
2022-07-22 13:47:00+00:00,1404.3999999999996
2022-07-22 13:57:00+00:00,1402.3999999999996
2022-07-22 14:07:00+00:00,1403.3999999999996
2022-07-22 14:17:00+00:00,1405.3999999999996
2022-07-22 14:27:00+00:00,1404.3999999999996
2022-07-22 14:37:00+00:00,1411.3999999999996
2022-07-22 14:47:00+00:00,1408.3999999999996
2022-07-22 14:57:00+00:00,1411.3999999999996
2022-07-22 15:07:00+00:00,1416.3999999999996
2022-07-22 15:17:00+00:00,1410.3999999999996
2022-07-22 15:27:00+00:00,1419.3999999999996
2022-07-22 15:37:00+00:00,1416.3999999999996
2022-07-22 15:47:00+00:00,1416.3999999999996
2022-07-22 15:57:00+00:00,1417.3999999999996
2022-07-22 16:07:00+00:00,1412.3999999999996
2022-07-22 16:17:00+00:00,1414.3999999999996
2022-07-22 16:27:00+00:00,1420.3999999999996
2022-07-22 16:37:00+00:00,1420.3999999999996
2022-07-22 16:47:00+00:00,1419.3999999999996
2022-07-22 16:57:00+00:00,1417.3999999999996
2022-07-22 17:07:00+00:00,1421.3999999999996
2022-07-22 17:17:00+00:00,1423.3999999999996
2022-07-22 17:27:00+00:00,1421.3999999999996
2022-07-22 17:37:00+00:00,1419.3999999999996
2022-07-22 17:47:00+00:00,1422.3999999999996
2022-07-22 17:57:00+00:00,1422.3999999999996
2022-07-22 18:07:00+00:00,1428.3999999999996
2022-07-22 18:17:00+00:00,1426.3999999999996
2022-07-22 18:27:00+00:00,1427.3999999999996
2022-07-22 18:37:00+00:00,1426.3999999999996
2022-07-22 18:47:00+00:00,1427.3999999999996
2022-07-22 18:57:00+00:00,1428.3999999999996
2022-07-22 19:07:00+00:00,1430.3999999999996
2022-07-22 19:17:00+00:00,1427.3999999999996
2022-07-22 19:27:00+00:00,1431.3999999999996
2022-07-22 19:37:00+00:00,1420.3999999999996
2022-07-22 19:47:00+00:00,1424.3999999999996
2022-07-22 19:57:00+00:00,1426.3999999999996
2022-07-22 20:07:00+00:00,1434.3999999999996
2022-07-22 20:17:00+00:00,1423.3999999999996
2022-07-22 20:27:00+00:00,1427.3999999999996
2022-07-22 20:37:00+00:00,1427.3999999999996
2022-07-22 20:47:00+00:00,1429.3999999999996
2022-07-22 20:57:00+00:00,1424.3999999999996
2022-07-22 21:07:00+00:00,1419.3999999999996
2022-07-22 21:17:00+00:00,1430.3999999999996
2022-07-22 21:27:00+00:00,1431.3999999999996
2022-07-22 21:37:00+00:00,1417.3999999999996
2022-07-22 21:47:00+00:00,1426.3999999999996
2022-07-22 21:57:00+00:00,1421.3999999999996
2022-07-22 22:07:00+00:00,1418.3999999999996
2022-07-22 22:17:00+00:00,1416.3999999999996
2022-07-22 22:27:00+00:00,1423.3999999999996
2022-07-22 22:37:00+00:00,1424.3999999999996
2022-07-22 22:47:00+00:00,1422.3999999999996
2022-07-22 22:57:00+00:00,1425.3999999999996
2022-07-22 23:07:00+00:00,1423.3999999999996
2022-07-22 23:17:00+00:00,1423.3999999999996
2022-07-22 23:27:00+00:00,1421.3999999999996
2022-07-22 23:37:00+00:00,1420.3999999999996
2022-07-22 23:47:00+00:00,1419.3999999999996
2022-07-22 23:57:00+00:00,1410.3999999999996
2022-07-23 00:07:00+00:00,1416.3999999999996
2022-07-23 00:17:00+00:00,1414.3999999999996
2022-07-23 00:27:00+00:00,1408.3999999999996
2022-07-23 00:37:00+00:00,1414.3999999999996
2022-07-23 00:47:00+00:00,1401.3999999999996
2022-07-23 00:57:00+00:00,1404.3999999999996
2022-07-23 01:07:00+00:00,1408.3999999999996
2022-07-23 01:17:00+00:00,1406.3999999999996
2022-07-23 01:27:00+00:00,1405.3999999999996
2022-07-23 01:37:00+00:00,1405.3999999999996
2022-07-23 01:47:00+00:00,1394.3999999999996
2022-07-23 01:57:00+00:00,1402.3999999999996
2022-07-23 02:07:00+00:00,1393.3999999999996
2022-07-23 02:17:00+00:00,1395.3999999999996
2022-07-23 02:27:00+00:00,1397.3999999999996
2022-07-23 02:37:00+00:00,1395.3999999999996
2022-07-23 02:47:00+00:00,1399.3999999999996
2022-07-23 02:57:00+00:00,1398.3999999999996
2022-07-23 03:07:00+00:00,1398.3999999999996
2022-07-23 03:17:00+00:00,1398.3999999999996
2022-07-23 03:27:00+00:00,1400.3999999999996
2022-07-23 03:37:00+00:00,1395.3999999999996
2022-07-23 03:47:00+00:00,1391.3999999999996
2022-07-23 03:57:00+00:00,1388.3999999999996
2022-07-23 04:07:00+00:00,1393.3999999999996
2022-07-23 04:17:00+00:00,1388.3999999999996
2022-07-23 04:27:00+00:00,1381.3999999999996
2022-07-23 04:37:00+00:00,1381.3999999999996
2022-07-23 04:47:00+00:00,1384.3999999999996
2022-07-23 04:57:00+00:00,1379.3999999999996
2022-07-23 05:07:00+00:00,1374.3999999999996
2022-07-23 05:17:00+00:00,1368.3999999999996
2022-07-23 05:27:00+00:00,1363.3999999999996
2022-07-23 05:37:00+00:00,1362.3999999999996
2022-07-23 05:47:00+00:00,1357.3999999999996
2022-07-23 05:57:00+00:00,1359.3999999999996
2022-07-23 06:07:00+00:00,1354.3999999999996
2022-07-23 06:17:00+00:00,1345.3999999999996
2022-07-23 06:27:00+00:00,1344.3999999999996
