,Value
2022-10-07 20:54:00+00:00,2950.8
2022-10-07 21:04:00+00:00,2950.8
2022-10-07 21:14:00+00:00,2950.8
2022-10-07 21:24:00+00:00,2950.8
2022-10-07 21:34:00+00:00,2950.8
2022-10-07 21:44:00+00:00,2950.8
2022-10-07 21:54:00+00:00,2950.8
2022-10-07 22:04:00+00:00,2950.8
2022-10-07 22:14:00+00:00,2950.8
2022-10-07 22:24:00+00:00,2950.8
2022-10-07 22:34:00+00:00,2950.8
2022-10-07 22:44:00+00:00,2950.8
2022-10-07 22:54:00+00:00,2950.8
2022-10-07 23:04:00+00:00,2950.8
2022-10-07 23:14:00+00:00,2950.8
2022-10-07 23:24:00+00:00,2950.8
2022-10-07 23:34:00+00:00,2950.8
2022-10-07 23:44:00+00:00,2950.8
2022-10-07 23:54:00+00:00,2950.8
2022-10-08 00:04:00+00:00,2950.8
2022-10-08 00:14:00+00:00,2950.8
2022-10-08 00:24:00+00:00,2950.8
2022-10-08 00:34:00+00:00,2950.8
2022-10-08 00:44:00+00:00,2950.8
2022-10-08 00:54:00+00:00,2950.8
2022-10-08 01:04:00+00:00,2950.8
2022-10-08 01:14:00+00:00,2950.8
2022-10-08 01:24:00+00:00,2950.8
2022-10-08 01:34:00+00:00,2950.8
2022-10-08 01:44:00+00:00,2950.8
2022-10-08 01:54:00+00:00,2950.8
2022-10-08 02:04:00+00:00,2950.8
2022-10-08 02:14:00+00:00,2950.8
2022-10-08 02:24:00+00:00,2950.8
2022-10-08 02:34:00+00:00,2950.8
2022-10-08 02:44:00+00:00,2950.8
2022-10-08 02:54:00+00:00,2950.8
2022-10-08 03:04:00+00:00,2950.8
2022-10-08 03:14:00+00:00,2950.8
2022-10-08 03:24:00+00:00,2950.8
2022-10-08 03:34:00+00:00,2950.8
2022-10-08 03:44:00+00:00,2950.8
2022-10-08 03:54:00+00:00,2950.8
2022-10-08 04:04:00+00:00,2950.8
2022-10-08 04:14:00+00:00,2950.8
2022-10-08 04:24:00+00:00,2950.8
2022-10-08 04:34:00+00:00,2950.8
2022-10-08 04:44:00+00:00,2950.8
2022-10-08 04:54:00+00:00,2950.8
2022-10-08 05:04:00+00:00,2950.8
2022-10-08 05:14:00+00:00,2950.8
2022-10-08 05:24:00+00:00,2950.8
2022-10-08 05:34:00+00:00,2950.8
2022-10-08 05:44:00+00:00,2950.8
2022-10-08 05:54:00+00:00,2950.8
2022-10-08 06:04:00+00:00,2950.8
2022-10-08 06:14:00+00:00,2950.8
2022-10-08 06:24:00+00:00,2950.8
2022-10-08 06:34:00+00:00,2950.8
2022-10-08 06:44:00+00:00,2950.8
2022-10-08 06:54:00+00:00,2950.8
2022-10-08 07:04:00+00:00,2950.8
2022-10-08 07:14:00+00:00,2950.8
2022-10-08 07:24:00+00:00,2950.8
2022-10-08 07:34:00+00:00,2950.8
2022-10-08 07:44:00+00:00,2950.8
2022-10-08 07:54:00+00:00,2950.8
2022-10-08 08:04:00+00:00,2950.8
2022-10-08 08:14:00+00:00,2950.8
2022-10-08 08:24:00+00:00,2950.8
2022-10-08 08:34:00+00:00,2950.8
2022-10-08 08:44:00+00:00,2950.8
2022-10-08 08:54:00+00:00,2950.8
2022-10-08 09:04:00+00:00,2950.8
2022-10-08 09:14:00+00:00,2950.8
2022-10-08 09:24:00+00:00,2950.8
2022-10-08 09:34:00+00:00,2950.8
2022-10-08 09:44:00+00:00,2950.8
2022-10-08 09:54:00+00:00,2950.8
2022-10-08 10:04:00+00:00,2950.8
2022-10-08 10:14:00+00:00,2950.8
