,Value
2021-10-19 19:24:23+00:00,755.9
2021-10-19 19:24:39+00:00,755.7
2021-10-19 19:24:54+00:00,755.7
2021-10-19 20:24:22+00:00,756.7
2021-10-19 20:24:38+00:00,757.1
2021-10-19 20:24:53+00:00,757.1
2021-10-19 21:24:24+00:00,757.6
2021-10-19 21:24:40+00:00,757.7
2021-10-19 21:24:56+00:00,757.5
2021-10-19 22:24:23+00:00,758.4
2021-10-19 22:24:39+00:00,758.3
2021-10-19 22:24:55+00:00,758.3
2021-10-19 23:24:23+00:00,757.5
2021-10-19 23:24:38+00:00,757.9
2021-10-19 23:24:54+00:00,757.8
2021-10-20 00:24:23+00:00,757.6
2021-10-20 00:24:39+00:00,757.9
2021-10-20 00:24:54+00:00,758.1
2021-10-20 01:24:23+00:00,759.5
2021-10-20 01:24:39+00:00,759.4
2021-10-20 01:24:55+00:00,759.2
2021-10-20 02:24:22+00:00,760.5
2021-10-20 02:24:38+00:00,760.4
2021-10-20 02:24:53+00:00,760.3
2021-10-20 03:24:22+00:00,761.0
2021-10-20 03:24:38+00:00,761.2
2021-10-20 03:24:53+00:00,761.2
2021-10-20 04:24:22+00:00,762.4
2021-10-20 04:24:38+00:00,762.5
2021-10-20 04:24:54+00:00,762.3
2021-10-20 05:24:23+00:00,760.5
2021-10-20 05:24:38+00:00,760.6
2021-10-20 05:24:54+00:00,760.4
2021-10-20 06:24:22+00:00,759.5
2021-10-20 06:24:38+00:00,759.7
2021-10-20 06:24:53+00:00,759.5
2021-10-20 07:24:22+00:00,759.2
2021-10-20 07:24:38+00:00,759.1
2021-10-20 07:24:53+00:00,759.3
2021-10-20 08:24:22+00:00,758.8
2021-10-20 08:24:38+00:00,759.0
2021-10-20 08:24:53+00:00,758.7
2021-10-20 09:24:22+00:00,758.9
2021-10-20 09:24:38+00:00,759.0
2021-10-20 09:24:54+00:00,758.7
2021-10-20 10:24:22+00:00,759.0
2021-10-20 10:24:38+00:00,759.2
2021-10-20 10:24:53+00:00,759.1
2021-10-20 11:24:22+00:00,759.5
2021-10-20 11:24:37+00:00,759.7
2021-10-20 11:24:53+00:00,759.7
2021-10-20 12:24:23+00:00,760.3
2021-10-20 12:24:38+00:00,760.1
2021-10-20 12:24:54+00:00,760.0
2021-10-20 13:24:22+00:00,762.9
2021-10-20 13:24:38+00:00,762.9
2021-10-20 13:24:53+00:00,762.5
2021-10-20 14:24:22+00:00,771.6
2021-10-20 14:24:38+00:00,771.5
2021-10-20 14:24:53+00:00,771.2
2021-10-20 15:24:23+00:00,772.5
2021-10-20 15:24:39+00:00,772.5
2021-10-20 15:24:55+00:00,772.4
2021-10-20 16:24:22+00:00,775.9
2021-10-20 16:24:37+00:00,775.6
2021-10-20 16:24:53+00:00,775.7
2021-10-20 17:24:22+00:00,775.8
2021-10-20 17:24:38+00:00,775.8
2021-10-20 17:24:53+00:00,775.8
2021-10-20 18:24:22+00:00,770.1
2021-10-20 18:24:38+00:00,770.3
2021-10-20 18:24:53+00:00,770.2
2021-10-20 19:24:24+00:00,769.5
2021-10-20 19:24:41+00:00,769.5
2021-10-20 19:24:56+00:00,769.3
2021-10-20 20:24:25+00:00,771.1
2021-10-20 20:24:40+00:00,771.2
2021-10-20 20:24:56+00:00,771.1
2021-10-20 21:24:22+00:00,771.7
2021-10-20 21:24:38+00:00,771.5
2021-10-20 21:24:53+00:00,771.3
2021-10-20 22:24:22+00:00,771.0
2021-10-20 22:24:37+00:00,771.1
2021-10-20 22:24:53+00:00,771.1
2021-10-20 23:24:22+00:00,770.6
2021-10-20 23:24:37+00:00,770.7
2021-10-20 23:24:53+00:00,770.8
2021-10-21 00:24:22+00:00,771.8
2021-10-21 00:24:37+00:00,771.9
2021-10-21 00:24:53+00:00,771.9
2021-10-21 01:24:22+00:00,771.3
2021-10-21 01:24:38+00:00,771.4
2021-10-21 01:24:53+00:00,771.5
2021-10-21 02:24:23+00:00,773.0
2021-10-21 02:24:38+00:00,773.1
2021-10-21 02:24:54+00:00,772.8
2021-10-21 03:24:22+00:00,773.5
2021-10-21 03:24:37+00:00,773.6
2021-10-21 03:24:53+00:00,773.7
2021-10-21 04:24:22+00:00,779.7
2021-10-21 04:24:37+00:00,779.5
2021-10-21 04:24:53+00:00,779.5
2021-10-21 05:24:22+00:00,789.7
2021-10-21 05:24:37+00:00,789.3
2021-10-21 05:24:53+00:00,789.8
2021-10-21 06:24:22+00:00,790.9
2021-10-21 06:24:38+00:00,790.6
2021-10-21 06:24:53+00:00,790.4
2021-10-21 07:24:22+00:00,789.7
2021-10-21 07:24:38+00:00,789.7
2021-10-21 07:24:53+00:00,789.4
2021-10-21 08:24:23+00:00,789.0
2021-10-21 08:24:38+00:00,789.3
2021-10-21 08:24:54+00:00,789.5
2021-10-21 09:24:23+00:00,789.2
2021-10-21 09:24:38+00:00,789.6
2021-10-21 09:24:54+00:00,789.8
2021-10-21 11:24:23+00:00,789.1
2021-10-21 11:24:38+00:00,789.5
2021-10-21 11:24:54+00:00,789.7
2021-10-21 13:24:30+00:00,789.9
2021-10-21 13:24:45+00:00,790.2
2021-10-21 13:25:01+00:00,790.4
2021-10-21 15:24:42+00:00,822.8
2021-10-21 15:24:57+00:00,822.4
2021-10-21 15:25:13+00:00,822.3
2021-10-21 16:24:42+00:00,824.8
2021-10-21 16:24:58+00:00,824.8
2021-10-21 16:25:13+00:00,824.4
2021-10-21 17:24:42+00:00,826.1
2021-10-21 17:24:57+00:00,826.2
2021-10-21 17:25:13+00:00,826.3
2021-10-21 18:24:42+00:00,827.3
2021-10-21 18:24:58+00:00,827.6
2021-10-21 18:25:13+00:00,827.3
2021-10-21 19:24:42+00:00,826.8
2021-10-21 19:24:57+00:00,827.2
2021-10-21 19:25:13+00:00,827.1
2021-10-21 20:24:42+00:00,827.3
2021-10-21 20:24:57+00:00,827.4
2021-10-21 20:25:13+00:00,827.4
2021-10-21 21:24:42+00:00,829.1
2021-10-21 21:24:57+00:00,829.2
2021-10-21 21:25:13+00:00,829.2
2021-10-21 22:24:42+00:00,827.8
2021-10-21 22:24:57+00:00,827.9
2021-10-21 22:25:13+00:00,827.7
2021-10-21 23:24:43+00:00,827.5
2021-10-21 23:24:58+00:00,827.6
2021-10-21 23:25:14+00:00,827.3
2021-10-22 00:24:42+00:00,827.1
2021-10-22 00:24:57+00:00,826.9
2021-10-22 00:25:13+00:00,826.9
2021-10-22 01:24:43+00:00,826.9
2021-10-22 01:24:58+00:00,826.8
2021-10-22 01:25:14+00:00,826.7
2021-10-22 02:24:42+00:00,828.7
2021-10-22 02:24:57+00:00,828.6
2021-10-22 02:25:13+00:00,828.5
2021-10-22 03:24:42+00:00,826.8
2021-10-22 03:24:57+00:00,826.7
2021-10-22 03:25:13+00:00,826.6
2021-10-22 04:24:40+00:00,825.2
2021-10-22 04:24:56+00:00,825.1
2021-10-22 04:25:12+00:00,824.9
2021-10-22 05:24:40+00:00,822.3
2021-10-22 05:24:56+00:00,822.4
2021-10-22 05:25:12+00:00,822.3
2021-10-22 06:24:40+00:00,822.6
2021-10-22 06:24:56+00:00,822.3
2021-10-22 06:25:11+00:00,822.3
2021-10-22 07:24:40+00:00,821.7
2021-10-22 07:24:56+00:00,821.7
2021-10-22 07:25:11+00:00,821.6
2021-10-22 08:24:41+00:00,823.3
2021-10-22 08:24:56+00:00,823.1
2021-10-22 08:25:12+00:00,823.0
2021-10-22 09:24:40+00:00,823.3
2021-10-22 09:24:56+00:00,823.3
2021-10-22 09:25:11+00:00,823.1
2021-10-22 10:24:40+00:00,821.3
2021-10-22 10:24:56+00:00,821.1
2021-10-22 10:25:11+00:00,820.8
2021-10-22 11:24:41+00:00,815.1
2021-10-22 11:24:56+00:00,815.2
2021-10-22 11:25:12+00:00,815.4
2021-10-22 12:24:40+00:00,812.1
2021-10-22 12:24:56+00:00,812.3
2021-10-22 12:25:11+00:00,812.5
2021-10-22 13:24:40+00:00,809.8
2021-10-22 13:24:56+00:00,809.8
2021-10-22 13:25:11+00:00,810.1
2021-10-22 14:24:40+00:00,809.9
2021-10-22 14:24:56+00:00,809.8
2021-10-22 14:25:11+00:00,809.9
2021-10-22 15:24:41+00:00,807.4
2021-10-22 15:24:56+00:00,807.7
2021-10-22 15:25:12+00:00,807.5
2021-10-22 16:24:40+00:00,804.5
2021-10-22 16:24:56+00:00,804.6
2021-10-22 16:25:11+00:00,804.4
2021-10-22 17:24:41+00:00,804.4
2021-10-22 17:24:57+00:00,804.4
2021-10-22 17:25:12+00:00,804.3
2021-10-22 18:24:41+00:00,802.5
2021-10-22 18:24:57+00:00,801.8
2021-10-22 18:25:12+00:00,801.6
2021-10-22 19:24:41+00:00,799.6
2021-10-22 19:24:56+00:00,800.2
2021-10-22 19:25:12+00:00,800.3
2021-10-22 20:24:40+00:00,800.7
2021-10-22 20:24:56+00:00,800.9
2021-10-22 20:25:11+00:00,800.8
2021-10-22 21:24:40+00:00,800.0
2021-10-22 21:24:56+00:00,800.0
2021-10-22 21:25:12+00:00,799.8
2021-10-22 22:24:41+00:00,801.2
2021-10-22 22:24:56+00:00,801.4
2021-10-22 22:25:12+00:00,801.3
2021-10-22 23:24:41+00:00,799.5
2021-10-22 23:24:56+00:00,799.6
2021-10-22 23:25:12+00:00,799.5
2021-10-23 00:24:40+00:00,799.4
2021-10-23 00:24:56+00:00,799.4
2021-10-23 00:25:11+00:00,799.4
2021-10-23 01:24:41+00:00,800.0
2021-10-23 01:24:57+00:00,800.1
2021-10-23 01:25:12+00:00,799.9
2021-10-23 02:24:41+00:00,798.4
2021-10-23 02:24:57+00:00,798.3
2021-10-23 02:25:12+00:00,798.1
2021-10-23 03:25:47+00:00,797.0
2021-10-23 03:26:03+00:00,797.2
2021-10-23 03:26:18+00:00,797.3
2021-10-23 04:24:41+00:00,798.1
2021-10-23 04:24:56+00:00,798.2
2021-10-23 04:25:12+00:00,798.0
2021-10-23 05:25:17+00:00,798.5
2021-10-23 05:25:33+00:00,798.4
2021-10-23 05:25:49+00:00,798.0
2021-10-23 06:24:40+00:00,797.0
2021-10-23 06:24:56+00:00,796.9
2021-10-23 06:25:11+00:00,796.9
2021-10-23 07:24:40+00:00,794.6
2021-10-23 07:24:56+00:00,794.6
2021-10-23 07:25:11+00:00,794.6
2021-10-23 08:24:41+00:00,794.1
2021-10-23 08:24:56+00:00,794.1
2021-10-23 08:25:12+00:00,793.9
2021-10-23 09:24:40+00:00,794.5
2021-10-23 09:24:56+00:00,794.3
2021-10-23 09:25:11+00:00,794.1
2021-10-23 10:24:40+00:00,794.5
2021-10-23 10:24:56+00:00,794.2
2021-10-23 10:25:12+00:00,794.2
2021-10-23 11:24:40+00:00,794.2
2021-10-23 11:24:56+00:00,794.1
2021-10-23 11:25:11+00:00,793.9
2021-10-23 12:24:40+00:00,792.6
2021-10-23 12:24:56+00:00,792.5
2021-10-23 12:25:12+00:00,792.5
2021-10-23 13:24:40+00:00,791.9
2021-10-23 13:24:56+00:00,791.8
2021-10-23 13:25:12+00:00,791.7
2021-10-23 14:24:40+00:00,792.0
2021-10-23 14:24:56+00:00,791.7
2021-10-23 14:25:12+00:00,791.4
2021-10-23 15:24:41+00:00,790.6
2021-10-23 15:24:56+00:00,790.5
2021-10-23 15:25:12+00:00,790.2
2021-10-23 16:24:40+00:00,789.0
2021-10-23 16:24:56+00:00,789.0
2021-10-23 16:25:12+00:00,788.7
2021-10-23 17:24:41+00:00,789.5
2021-10-23 17:24:56+00:00,789.5
2021-10-23 17:25:12+00:00,788.9
2021-10-23 18:24:41+00:00,787.4
2021-10-23 18:24:56+00:00,787.3
2021-10-23 18:25:12+00:00,787.2
2021-10-23 19:24:41+00:00,788.7
2021-10-23 19:24:56+00:00,788.7
2021-10-23 19:25:12+00:00,788.8
2021-10-23 20:24:40+00:00,787.5
2021-10-23 20:24:56+00:00,787.4
2021-10-23 20:25:12+00:00,787.5
2021-10-23 21:24:41+00:00,786.0
2021-10-23 21:24:56+00:00,786.1
2021-10-23 21:25:12+00:00,786.1
2021-10-23 22:24:40+00:00,786.6
2021-10-23 22:24:56+00:00,786.5
2021-10-23 22:25:11+00:00,786.4
2021-10-23 23:24:40+00:00,787.2
2021-10-23 23:24:56+00:00,787.0
2021-10-23 23:25:11+00:00,787.2
2021-10-24 00:24:40+00:00,788.3
2021-10-24 00:24:56+00:00,788.2
2021-10-24 00:25:11+00:00,788.0
2021-10-24 01:24:40+00:00,789.4
2021-10-24 01:24:56+00:00,789.2
2021-10-24 01:25:12+00:00,788.9
2021-10-24 02:24:40+00:00,787.3
2021-10-24 02:24:56+00:00,787.4
2021-10-24 02:25:12+00:00,787.3
2021-10-24 03:24:41+00:00,785.8
2021-10-24 03:24:56+00:00,785.9
2021-10-24 03:25:12+00:00,785.9
2021-10-24 04:24:40+00:00,785.1
2021-10-24 04:24:56+00:00,784.9
2021-10-24 04:25:11+00:00,784.9
2021-10-24 05:24:41+00:00,785.0
2021-10-24 05:24:57+00:00,784.9
2021-10-24 05:25:12+00:00,784.7
2021-10-24 06:24:41+00:00,782.6
2021-10-24 06:24:56+00:00,782.6
2021-10-24 06:25:12+00:00,782.4
2021-10-24 07:24:41+00:00,782.0
2021-10-24 07:24:56+00:00,781.9
2021-10-24 07:25:12+00:00,782.0
2021-10-24 08:24:41+00:00,781.5
2021-10-24 08:24:56+00:00,781.5
2021-10-24 08:25:11+00:00,781.8
2021-10-24 09:24:40+00:00,783.2
2021-10-24 09:24:56+00:00,783.1
2021-10-24 09:25:12+00:00,782.9
2021-10-24 10:24:41+00:00,781.9
2021-10-24 10:24:56+00:00,781.9
2021-10-24 10:25:11+00:00,781.7
2021-10-24 11:24:41+00:00,782.0
2021-10-24 11:24:56+00:00,782.2
2021-10-24 11:25:11+00:00,781.8
2021-10-24 12:24:41+00:00,782.7
2021-10-24 12:24:57+00:00,782.6
2021-10-24 12:25:12+00:00,782.4
2021-10-24 13:24:41+00:00,783.3
2021-10-24 13:24:56+00:00,783.2
2021-10-24 13:25:12+00:00,783.2
2021-10-24 14:24:42+00:00,782.5
2021-10-24 14:24:57+00:00,782.4
2021-10-24 14:25:13+00:00,782.5
2021-10-24 15:24:41+00:00,782.8
2021-10-24 15:24:56+00:00,782.8
2021-10-24 15:25:11+00:00,782.7
2021-10-24 16:24:40+00:00,783.7
2021-10-24 16:24:56+00:00,783.2
2021-10-24 16:25:12+00:00,782.8
2021-10-24 17:24:41+00:00,783.3
2021-10-24 17:24:56+00:00,783.0
2021-10-24 17:25:12+00:00,782.7
