Node ID,Site ID,start,end,Offset (mm),Clean
004A,PTK016,2021-06-20 17:08:00+00:00,2022-06-20 17:08:00+00:00,1670,0
008A,ARB048,2021-11-28 18:33:00+00:00,2022-11-28 18:33:00+00:00,2734,1
012A,ARB032,2021-09-21 16:32:00+00:00,2022-09-21 16:32:00+00:00,1772,1
019A,ARB028,2021-11-28 18:35:00+00:00,2022-11-28 18:35:00+00:00,4102,1
021A,DET015,2021-11-28 18:34:00+00:00,2022-11-28 18:34:00+00:00,3108.33,1
022A,ARB047,2021-11-28 18:28:00+00:00,2022-11-28 18:28:00+00:00,1780,1
023A,PTK009,2021-11-28 18:32:00+00:00,2022-11-28 18:32:00+00:00,903.17,0
025A,PTK019,2021-11-28 18:31:00+00:00,2022-11-28 18:31:00+00:00,1110,0
027A,ARB029,2021-11-28 18:29:00+00:00,2022-11-28 18:29:00+00:00,2035,0
037A,ARB034,2021-11-28 18:32:00+00:00,2022-11-28 18:32:00+00:00,2063,1
039A,ARB049,2021-11-28 18:32:00+00:00,2022-11-28 18:32:00+00:00,2254.25,0
043A,PTK027,2021-11-28 18:36:00+00:00,2022-11-28 18:36:00+00:00,3641.73,1
045A,ARB050,2021-06-17 14:20:00+00:00,2022-06-17 14:20:00+00:00,1621,0
046A,ARB018,2021-11-28 18:36:00+00:00,2022-11-28 18:36:00+00:00,2078,0
048A,ARB006,2021-11-28 18:35:00+00:00,2022-11-28 18:35:00+00:00,2600,1
049A,ARB046,2021-07-19 12:58:00+00:00,2022-07-19 12:58:00+00:00,1798,0
051A,DET012,2021-11-28 18:36:00+00:00,2022-11-28 18:36:00+00:00,3994.15,0
052A,PTK010,2021-11-28 18:32:00+00:00,2022-11-28 18:32:00+00:00,1754,0
055A,PTK022,2021-11-28 18:35:00+00:00,2022-11-28 18:35:00+00:00,1500,1
057A,PTK026,2021-11-28 18:32:00+00:00,2022-11-28 18:32:00+00:00,1355,0
058A,PTK012,2021-11-28 18:31:00+00:00,2022-11-28 18:31:00+00:00,1903,1
065A,MDOT2471,2021-11-28 18:34:00+00:00,2022-11-28 18:34:00+00:00,2610,1
069A,MDOT7079,2021-11-28 18:29:00+00:00,2022-11-28 18:29:00+00:00,4350,1
070A,MDOT7166,2021-11-28 18:34:00+00:00,2022-11-28 18:34:00+00:00,2850,0
