Node ID,Site ID,Project,Site type,Mount Type,Offset (mm)
001A,ARB025,ARB,River,Bridge - S,4905.5
001A,MDOT11328,MDO,River,Bridge - D,9448.8
001A,PTK014,PTK,Stream,Post,1841.5
003A,ARB017,ARB,Stream,Post,1517.65
004A,MDOT335,MDO,Lake,Bridge - S,2476.5
004A,PTK016,PTK,Lake,Post,1670
005A,ARB031,ARB,River,Bridge - S,8213.73
006A,ARB013,ARB,River,Bridge - S,3048
006A,PTK014,PTK,Stream,Post,1841.5
007A,DET001,DET,River,Bridge - D,5000
008A,ARB048,ARB,Stream,Bridge - S,2734
009A,ARB015,ARB,Stream,Post,1930
010A,MDOT10428,MDO,River,Bridge - D,6000
010A,PTK017,PTK,Lake,Bridge - S,1683
010A,ARB084,ARB,Stream,Post,1498.6
011A,ARB015,ARB,Stream,Post,1930
012A,ARB032,ARB,Lake,Bridge - S,1772
013A,MDOT8955,MDO,Stream,Bridge - S,2476.5
013A,PTK013,PTK,Lake,Post,1638
014A,MDOT6513,MDO,River,Bridge - S,3530.6
014A,PTK020,PTK,Lake,Bridge - S,1135.5
015A,ARB013,ARB,River,Bridge - S,12300
016A,ARB017,ARB,Stream,Post,1517.65
016A,PTK016,PTK,Lake,Post,1625.6
017A,ARB029,ARB,Lake,Bridge - S,2035
017A,ARB056,ARB,Lake,Post,1917.7
019A,ARB028,ARB,River,Bridge - S,4102
020A,ARB056,ARB,Lake,Post,1960
020A,MDOT390,MDO,River,Bridge - D,6400.8
021A,DET015,DET,Stream,Bridge - S,3108.33
022A,ARB047,ARB,Lake,Post,1780
023A,ARB017,ARB,Stream,Post,1517.65
023A,PTK009,PTK,Lake,Bridge - S,903.17
024A,DET001,DET,River,Bridge - D,5000
025A,PTK019,PTK,Lake,Bridge - S,1110
026A,MDOT3970,MDO,River,Bridge - S,8661.4
026A,PTK025,PTK,River,Bridge - S,4000
027A,ARB029,ARB,Lake,Bridge - S,2035
027A,ARB031,ARB,River,Bridge - D,8213.73
028A,MDOT7092,MDO,Stream,Bridge - S,4470.4
028A,PTK018,PTK,Lake,Bridge - S,1403.35
029A,ARB012,ARB,River,Bridge - S,6858
029A,ARB026,ARB,Lake,Bridge - S,4919
029A,MDOT8767,MDO,River,Bridge - S,7416.8
030A,DET016,DET,Stream,Bridge - S,2590.8
030A,DET021,DET,River,Post,1676.4
031A,MDOT488,MDO,Stream,Bridge - S,3048
031A,PTK021,PTK,Lake,Bridge - S,1355
032A,ARB027,ARB,River,Bridge - S,5791.2
032A,DET026,DET,River,Bridge - S,5500
033A,ARB012,ARB,River,Bridge - S,6858
033A,DET033,DET,River,Bridge - S,6375.4
034A,DET022,DET,Stream,Bridge - D,2476.5
035A,MDOT2892,MDO,Stream,Bridge - D,3225.8
035A,DET038,DET,Stream,Bridge - S,5207
035A,DET027,DET,Stream,Bridge - S,2489.2
036A,ARB003,ARB,Stream,Post,1905
036A,DET009,DET,River,Bridge -S,5194.3
037A,ARB034,ARB,River,Post,2063
039A,ARB049,ARB,Lake,Post,2254.25
040A,PTK013,PTK,Lake,Post,1625.6
041A,MDOT752,MDO,Lake,Bridge - S,2247.9
041A,PTK024,PTK,Lake,Bridge - S,1598
042A,ARB025,ARB,River,Bridge - S,4905.5
042A,MDOT2892,MDO,River,Bridge - D,3225.8
043A,PTK027,PTK,Lake,Bridge - S,3641.73
044A,ARB002,ARB,Stream,Post,1530
044A,MDOT7075,MDO,Stream,Bridge - S,7824.2
044A,DET004,DET,River,Bridge - D,3784.6
045A,ARB050,ARB,Stream,Post,1621
045A,MDOT7587,MDO,River,Bridge - S,5080
046A,ARB018,ARB,River,Bridge - D,2078
047A,PTK008,PTK,Lake,Bridge - S,3409.9
047A,ARB063,ARB,Stream,Bridge - S,2171.7
048A,ARB006,ARB,Stream,Bridge - S,2600
049A,ARB046,ARB,Lake,Post,1798
049A,DET024,DET,River,Bridge - S,3492.5
050A,ARB029,ARB,Lake,Bridge - S,2035
050A,PTK024,PTK,Lake,Bridge - S,1790.7
050A,PTK028,PTK,Lake,Bridge - S,1600.2
051A,DET012,DET,Stream,Bridge - S,3994.15
052A,PTK010,PTK,Lake,Bridge - S,1754
053A,ARB015,ARB,Stream,Post,1930
053A,MDOT7075,MDO,River,Bridge - S,7950.2
054A,ARB012,ARB,River,Bridge - S,6858
055A,PTK022,PTK,Stream,Post,1500
056A,PTK023,PTK,Lake,Post,1605
056A,DET008,DET,River,Bridge - D,2387.6
057A,PTK026,PTK,Lake,Bridge - S,1355
058A,PTK012,PTK,Lake,Post,1903
060A,ARB046,ARB,Lake,Post,1798
060A,ARB080,ARB,Stream,Post,1791
061A,MDOT1072,MDO,River,Bridge - S,4013.2
061A,DET018,DET,River - Dam,Post,1854.2
062A,DET019,DET,Stream,Post,1651
063A,MDOT9178,MDO,River,Bridge - S,5791
064A,MDOT1072,MDO,River,Bridge - S,4013.2
064A,PTK014,PTK,Stream,Post,1841.5
065A,MDOT2471,MDO,River,Bridge - S,2610
066A,DET011,DET,Stream,Bridge - S,4114.8
067A,PTK018,PTK,Lake,Bridge - S,1504.9
068A,ARB027,ARB,River,Bridge - S,6667
068A,MDOT6142,MDO,River,Bridge - D,8400
069A,MDOT7079,MDO,Stream,Bridge - S,4350
070A,MDOT7166,MDO,River,Bridge - S,2850
071A,ARB025,ARB,River,Bridge - S,4905.5
071A,MDOT1091,MDO,Stream,Bridge - S,5000
072A,MDOT2613,MDO,River,Bridge - S,10211
072A,MDOT8488,MDO,River,Bridge - S,7010.4
073A,ARB003,ARB,Stream,Post,1905
074A,ARB015,ARB,Stream,Post,1930
075A,ARB025,ARB,River,Bridge - S,4905.5
076A,DET033,DET,River,Bridge - S,6102.3
076A,MDOT4240,MDO,River,Bridge - S,10000
080A,MDOT10428,MDO,River,Bridge - D,6096
081A,ARB031,ARB,River,Bridge - S,8213.73
082A,PTK025,PTK,River,Bridge - S,3327.5
083A,PTK014,PTK,Stream,Post,1841.5
084A,ARB027,ARB,River,Bridge - S,6667
084A,DET005,DET,Stream,Bridge - S,2654.3
