,Value
2021-07-21 18:03:56+00:00,9.675
2021-07-21 18:04:02+00:00,9.659
2021-07-21 18:04:09+00:00,9.666
2021-07-21 18:06:28+00:00,9.669
2021-07-21 18:06:34+00:00,9.66
2021-07-21 18:06:41+00:00,9.672
2021-07-21 18:12:55+00:00,9.66
2021-07-21 18:13:01+00:00,9.662
2021-07-21 18:13:08+00:00,9.654
2021-07-21 18:15:46+00:00,9.653
2021-07-21 18:15:52+00:00,9.646
2021-07-21 18:15:59+00:00,9.646
2021-07-21 18:24:26+00:00,9.652
2021-07-21 18:25:42+00:00,9.672
2021-07-21 18:26:59+00:00,9.665
2021-07-21 18:28:59+00:00,9.655
2021-07-21 18:30:15+00:00,9.643
2021-07-21 18:35:06+00:00,9.637
2021-07-21 18:36:23+00:00,9.639
2021-07-21 18:39:07+00:00,9.635
2021-07-21 18:40:25+00:00,9.634
2021-07-21 18:41:42+00:00,9.637
2021-07-21 18:43:11+00:00,9.635
2021-07-21 18:43:24+00:00,9.626
2021-07-21 18:43:38+00:00,9.635
2021-07-21 19:43:11+00:00,9.637
2021-07-21 19:43:24+00:00,9.635
2021-07-21 19:43:38+00:00,9.648
2021-07-21 20:43:12+00:00,9.658
2021-07-21 20:43:25+00:00,9.648
2021-07-21 20:43:39+00:00,9.654
2021-07-21 21:43:11+00:00,9.674
2021-07-21 21:43:25+00:00,9.67
2021-07-21 21:43:39+00:00,9.662
2021-07-21 21:55:34+00:00,9.667
2021-07-21 21:55:47+00:00,9.66
2021-07-21 21:56:01+00:00,9.657
2021-07-21 22:55:34+00:00,9.672
2021-07-21 22:55:47+00:00,9.672
2021-07-21 22:56:01+00:00,9.682
2021-07-21 23:55:34+00:00,9.672
2021-07-21 23:55:48+00:00,9.67
2021-07-21 23:56:01+00:00,9.677
2021-07-22 00:55:34+00:00,9.666
2021-07-22 00:55:48+00:00,9.667
2021-07-22 00:56:02+00:00,9.66
2021-07-22 01:55:34+00:00,9.662
2021-07-22 01:55:47+00:00,9.663
2021-07-22 01:56:01+00:00,9.673
2021-07-22 02:55:34+00:00,9.683
