,Value
2022-06-24 20:36:00+00:00,3257.6000000000004
2022-06-24 20:46:00+00:00,3266.6000000000004
2022-06-24 20:56:00+00:00,3260.6000000000004
2022-06-24 21:06:00+00:00,3259.6000000000004
2022-06-24 21:16:00+00:00,3255.6000000000004
2022-06-24 21:26:00+00:00,3257.6000000000004
2022-06-24 21:36:00+00:00,3258.6000000000004
2022-06-24 21:46:00+00:00,3255.6000000000004
2022-06-24 21:56:00+00:00,3259.6000000000004
2022-06-24 22:06:00+00:00,3259.6000000000004
2022-06-24 22:16:00+00:00,3254.6000000000004
2022-06-24 22:26:00+00:00,3255.6000000000004
2022-06-24 22:36:00+00:00,3258.6000000000004
2022-06-24 22:46:00+00:00,3256.6000000000004
2022-06-24 22:56:00+00:00,3255.6000000000004
2022-06-24 23:06:00+00:00,3255.6000000000004
2022-06-24 23:16:00+00:00,3251.6000000000004
2022-06-24 23:26:00+00:00,3252.6000000000004
2022-06-24 23:36:00+00:00,3254.6000000000004
2022-06-24 23:46:00+00:00,3253.6000000000004
2022-06-24 23:56:00+00:00,3255.6000000000004
2022-06-25 00:06:00+00:00,3255.6000000000004
2022-06-25 00:16:00+00:00,3258.6000000000004
2022-06-25 00:26:00+00:00,3260.6000000000004
2022-06-25 00:36:00+00:00,3262.6000000000004
2022-06-25 00:46:00+00:00,3263.6000000000004
2022-06-25 00:56:00+00:00,3264.6000000000004
2022-06-25 01:06:00+00:00,3265.6000000000004
2022-06-25 01:16:00+00:00,3266.6000000000004
2022-06-25 01:26:00+00:00,3262.6000000000004
2022-06-25 01:36:00+00:00,3263.6000000000004
2022-06-25 01:46:00+00:00,3262.6000000000004
2022-06-25 01:56:00+00:00,3266.6000000000004
2022-06-25 02:06:00+00:00,3266.6000000000004
2022-06-25 02:16:00+00:00,3267.6000000000004
2022-06-25 02:26:00+00:00,3265.6000000000004
2022-06-25 02:36:00+00:00,3266.6000000000004
2022-06-25 02:46:00+00:00,3266.6000000000004
2022-06-25 02:56:00+00:00,3264.6000000000004
2022-06-25 03:06:00+00:00,3262.6000000000004
2022-06-25 03:16:00+00:00,3262.6000000000004
2022-06-25 03:26:00+00:00,3264.6000000000004
2022-06-25 03:36:00+00:00,3266.6000000000004
2022-06-25 03:46:00+00:00,3264.6000000000004
2022-06-25 03:56:00+00:00,3263.6000000000004
2022-06-25 04:06:00+00:00,3264.6000000000004
2022-06-25 04:16:00+00:00,3264.6000000000004
2022-06-25 04:26:00+00:00,3264.6000000000004
2022-06-25 04:36:00+00:00,3266.6000000000004
2022-06-25 04:46:00+00:00,3264.6000000000004
2022-06-25 04:56:00+00:00,3265.6000000000004
2022-06-25 05:06:00+00:00,3265.6000000000004
2022-06-25 05:16:00+00:00,3266.6000000000004
2022-06-25 05:26:00+00:00,3266.6000000000004
2022-06-25 05:36:00+00:00,3266.6000000000004
2022-06-25 05:46:00+00:00,3266.6000000000004
2022-06-25 05:56:00+00:00,3268.6000000000004
2022-06-25 06:06:00+00:00,3268.6000000000004
2022-06-25 06:16:00+00:00,3268.6000000000004
2022-06-25 06:26:00+00:00,3268.6000000000004
2022-06-25 06:36:00+00:00,3268.6000000000004
2022-06-25 06:46:00+00:00,3268.6000000000004
2022-06-25 06:56:00+00:00,3267.6000000000004
2022-06-25 07:06:00+00:00,3268.6000000000004
2022-06-25 07:16:00+00:00,3267.6000000000004
2022-06-25 07:26:00+00:00,3268.6000000000004
2022-06-25 07:36:00+00:00,3268.6000000000004
2022-06-25 07:46:00+00:00,3267.6000000000004
2022-06-25 07:56:00+00:00,3268.6000000000004
2022-06-25 08:06:00+00:00,3268.6000000000004
2022-06-25 08:16:00+00:00,3268.6000000000004
2022-06-25 08:26:00+00:00,3268.6000000000004
2022-06-25 08:36:00+00:00,3268.6000000000004
2022-06-25 08:46:00+00:00,3268.6000000000004
2022-06-25 08:56:00+00:00,3267.6000000000004
2022-06-25 09:06:00+00:00,3268.6000000000004
2022-06-25 09:16:00+00:00,3270.6000000000004
2022-06-25 09:26:00+00:00,3267.6000000000004
2022-06-25 09:36:00+00:00,3267.6000000000004
2022-06-25 09:46:00+00:00,3268.6000000000004
2022-06-25 09:56:00+00:00,3268.6000000000004
2022-06-25 10:06:00+00:00,3268.6000000000004
2022-06-25 10:16:00+00:00,3269.6000000000004
2022-06-25 10:26:00+00:00,3268.6000000000004
2022-06-25 10:36:00+00:00,3269.6000000000004
2022-06-25 10:46:00+00:00,3270.6000000000004
2022-06-25 10:56:00+00:00,3270.6000000000004
2022-06-25 11:06:00+00:00,3270.6000000000004
2022-06-25 11:16:00+00:00,3269.6000000000004
2022-06-25 11:26:00+00:00,3270.6000000000004
2022-06-25 11:36:00+00:00,3271.6000000000004
2022-06-25 11:46:00+00:00,3270.6000000000004
2022-06-25 11:56:00+00:00,3270.6000000000004
2022-06-25 12:06:00+00:00,3270.6000000000004
2022-06-25 12:16:00+00:00,3269.6000000000004
2022-06-25 12:26:00+00:00,3268.6000000000004
2022-06-25 12:36:00+00:00,3267.6000000000004
2022-06-25 12:46:00+00:00,3268.6000000000004
2022-06-25 12:56:00+00:00,3268.6000000000004
2022-06-25 13:06:00+00:00,3266.6000000000004
2022-06-25 13:16:00+00:00,3267.6000000000004
2022-06-25 13:26:00+00:00,3266.6000000000004
2022-06-25 13:37:00+00:00,3264.6000000000004
2022-06-25 13:47:00+00:00,3263.6000000000004
2022-06-25 13:57:00+00:00,3262.6000000000004
2022-06-25 14:07:00+00:00,3261.6000000000004
2022-06-25 14:17:00+00:00,3264.6000000000004
2022-06-25 14:27:00+00:00,3262.6000000000004
2022-06-25 14:41:00+00:00,3263.6000000000004
2022-06-25 14:51:00+00:00,3261.6000000000004
2022-06-25 15:01:00+00:00,3260.6000000000004
2022-06-25 15:11:00+00:00,3261.6000000000004
2022-06-25 15:21:00+00:00,3262.6000000000004
2022-06-25 15:31:00+00:00,3264.6000000000004
2022-06-25 15:41:00+00:00,3261.6000000000004
2022-06-25 15:51:00+00:00,3260.6000000000004
2022-06-25 16:01:00+00:00,3261.6000000000004
2022-06-25 16:11:00+00:00,3258.6000000000004
2022-06-25 16:21:00+00:00,3263.6000000000004
2022-06-25 16:31:00+00:00,3260.6000000000004
2022-06-25 16:41:00+00:00,3261.6000000000004
2022-06-25 16:51:00+00:00,3259.6000000000004
2022-06-25 17:01:00+00:00,3259.6000000000004
2022-06-25 17:11:00+00:00,3260.6000000000004
2022-06-25 17:21:00+00:00,3260.6000000000004
2022-06-25 17:31:00+00:00,3258.6000000000004
2022-06-25 17:41:00+00:00,3261.6000000000004
2022-06-25 17:51:00+00:00,3260.6000000000004
2022-06-25 18:01:00+00:00,3255.6000000000004
2022-06-25 18:11:00+00:00,3261.6000000000004
2022-06-25 18:21:00+00:00,3260.6000000000004
2022-06-25 18:31:00+00:00,3260.6000000000004
2022-06-25 18:41:00+00:00,3263.6000000000004
2022-06-25 18:51:00+00:00,3259.6000000000004
2022-06-25 19:01:00+00:00,3262.6000000000004
2022-06-25 19:11:00+00:00,3259.6000000000004
2022-06-25 19:21:00+00:00,3263.6000000000004
2022-06-25 19:31:00+00:00,3262.6000000000004
2022-06-25 19:41:00+00:00,3259.6000000000004
2022-06-25 19:51:00+00:00,3255.6000000000004
2022-06-25 20:01:00+00:00,3262.6000000000004
2022-06-25 20:11:00+00:00,3264.6000000000004
2022-06-25 20:21:00+00:00,3258.6000000000004
2022-06-25 20:31:00+00:00,3259.6000000000004
2022-06-25 20:41:00+00:00,3260.6000000000004
2022-06-25 20:51:00+00:00,3259.6000000000004
2022-06-25 21:01:00+00:00,3259.6000000000004
2022-06-25 21:11:00+00:00,3261.6000000000004
2022-06-25 21:21:00+00:00,3258.6000000000004
2022-06-25 21:31:00+00:00,3257.6000000000004
2022-06-25 21:41:00+00:00,3256.6000000000004
2022-06-25 21:51:00+00:00,3258.6000000000004
2022-06-25 22:01:00+00:00,3258.6000000000004
2022-06-25 22:11:00+00:00,3258.6000000000004
2022-06-25 22:21:00+00:00,3259.6000000000004
2022-06-25 22:31:00+00:00,3258.6000000000004
2022-06-25 22:41:00+00:00,3259.6000000000004
2022-06-25 22:51:00+00:00,3259.6000000000004
2022-06-25 23:01:00+00:00,3259.6000000000004
2022-06-25 23:11:00+00:00,3260.6000000000004
2022-06-25 23:21:00+00:00,3260.6000000000004
2022-06-25 23:31:00+00:00,3262.6000000000004
2022-06-25 23:41:00+00:00,3261.6000000000004
2022-06-25 23:51:00+00:00,3264.6000000000004
2022-06-26 00:01:00+00:00,3264.6000000000004
2022-06-26 00:11:00+00:00,3264.6000000000004
2022-06-26 00:21:00+00:00,3265.6000000000004
2022-06-26 00:31:00+00:00,3264.6000000000004
2022-06-26 00:41:00+00:00,3266.6000000000004
2022-06-26 00:51:00+00:00,3265.6000000000004
2022-06-26 01:01:00+00:00,3265.6000000000004
2022-06-26 01:11:00+00:00,3265.6000000000004
2022-06-26 01:21:00+00:00,3265.6000000000004
2022-06-26 01:31:00+00:00,3264.6000000000004
2022-06-26 01:41:00+00:00,3264.6000000000004
2022-06-26 01:51:00+00:00,3264.6000000000004
2022-06-26 02:01:00+00:00,3267.6000000000004
2022-06-26 02:11:00+00:00,3266.6000000000004
2022-06-26 02:21:00+00:00,3263.6000000000004
2022-06-26 02:31:00+00:00,3265.6000000000004
2022-06-26 02:41:00+00:00,3265.6000000000004
2022-06-26 02:51:00+00:00,3265.6000000000004
2022-06-26 03:01:00+00:00,3267.6000000000004
2022-06-26 03:11:00+00:00,3266.6000000000004
2022-06-26 03:21:00+00:00,3267.6000000000004
2022-06-26 03:31:00+00:00,3267.6000000000004
2022-06-26 03:41:00+00:00,3266.6000000000004
2022-06-26 03:51:00+00:00,3265.6000000000004
2022-06-26 04:01:00+00:00,3266.6000000000004
2022-06-26 04:11:00+00:00,3266.6000000000004
2022-06-26 04:21:00+00:00,3267.6000000000004
2022-06-26 04:31:00+00:00,3267.6000000000004
2022-06-26 04:41:00+00:00,3268.6000000000004
2022-06-26 04:51:00+00:00,3266.6000000000004
2022-06-26 05:01:00+00:00,3267.6000000000004
2022-06-26 05:11:00+00:00,3266.6000000000004
2022-06-26 05:21:00+00:00,3265.6000000000004
2022-06-26 05:31:00+00:00,3265.6000000000004
2022-06-26 05:41:00+00:00,3265.6000000000004
2022-06-26 05:51:00+00:00,3266.6000000000004
2022-06-26 06:01:00+00:00,3268.6000000000004
2022-06-26 06:11:00+00:00,3266.6000000000004
2022-06-26 06:21:00+00:00,3267.6000000000004
2022-06-26 06:31:00+00:00,3268.6000000000004
2022-06-26 06:41:00+00:00,3268.6000000000004
2022-06-26 06:51:00+00:00,3269.6000000000004
2022-06-26 07:01:00+00:00,3268.6000000000004
2022-06-26 07:11:00+00:00,3268.6000000000004
2022-06-26 07:21:00+00:00,3269.6000000000004
2022-06-26 07:31:00+00:00,3268.6000000000004
2022-06-26 07:41:00+00:00,3268.6000000000004
2022-06-26 07:51:00+00:00,3268.6000000000004
2022-06-26 08:01:00+00:00,3268.6000000000004
2022-06-26 08:11:00+00:00,3269.6000000000004
2022-06-26 08:21:00+00:00,3269.6000000000004
2022-06-26 08:31:00+00:00,3268.6000000000004
2022-06-26 08:41:00+00:00,3269.6000000000004
2022-06-26 08:51:00+00:00,3269.6000000000004
2022-06-26 09:01:00+00:00,3269.6000000000004
2022-06-26 09:11:00+00:00,3269.6000000000004
2022-06-26 09:21:00+00:00,3270.6000000000004
2022-06-26 09:31:00+00:00,3272.6000000000004
2022-06-26 09:41:00+00:00,3272.6000000000004
2022-06-26 09:51:00+00:00,3269.6000000000004
2022-06-26 10:01:00+00:00,3273.6000000000004
2022-06-26 10:11:00+00:00,3271.6000000000004
2022-06-26 10:21:00+00:00,3271.6000000000004
2022-06-26 10:31:00+00:00,3271.6000000000004
2022-06-26 10:41:00+00:00,3270.6000000000004
