,Value
2022-08-26 20:13:00+00:00,1110.3999999999996
2022-08-26 20:23:00+00:00,1095.3999999999996
2022-08-26 20:33:00+00:00,1087.3999999999996
2022-08-26 20:43:00+00:00,1096.3999999999996
2022-08-26 20:53:00+00:00,1087.3999999999996
2022-08-26 21:03:00+00:00,1081.3999999999996
2022-08-26 21:13:00+00:00,1076.3999999999996
2022-08-26 21:23:00+00:00,1076.3999999999996
2022-08-26 21:33:00+00:00,1081.3999999999996
2022-08-26 21:43:00+00:00,1066.3999999999996
2022-08-26 21:53:00+00:00,1070.3999999999996
2022-08-26 22:03:00+00:00,1071.3999999999996
2022-08-26 22:13:00+00:00,1081.3999999999996
2022-08-26 22:23:00+00:00,1092.3999999999996
2022-08-26 22:33:00+00:00,1075.3999999999996
2022-08-26 22:43:00+00:00,1072.3999999999996
2022-08-26 22:53:00+00:00,1052.3999999999996
2022-08-26 23:03:00+00:00,1032.3999999999996
2022-08-26 23:13:00+00:00,1014.3999999999996
2022-08-26 23:23:00+00:00,1025.3999999999996
2022-08-26 23:33:00+00:00,1029.3999999999996
2022-08-26 23:43:00+00:00,1035.3999999999996
2022-08-26 23:53:00+00:00,1038.3999999999996
2022-08-27 00:03:00+00:00,1035.3999999999996
2022-08-27 00:13:00+00:00,1032.3999999999996
2022-08-27 00:23:00+00:00,1030.3999999999996
2022-08-27 00:33:00+00:00,1046.3999999999996
2022-08-27 00:43:00+00:00,1058.3999999999996
2022-08-27 00:53:00+00:00,1063.3999999999996
2022-08-27 01:03:00+00:00,1053.3999999999996
2022-08-27 01:13:00+00:00,1044.3999999999996
2022-08-27 01:23:00+00:00,1037.3999999999996
2022-08-27 01:33:00+00:00,1017.3999999999996
2022-08-27 01:43:00+00:00,1007.3999999999996
2022-08-27 01:53:00+00:00,1010.3999999999996
2022-08-27 02:03:00+00:00,1024.3999999999996
2022-08-27 02:13:00+00:00,1036.3999999999996
2022-08-27 02:23:00+00:00,1046.3999999999996
2022-08-27 02:33:00+00:00,1040.3999999999996
2022-08-27 02:43:00+00:00,1049.3999999999996
2022-08-27 02:53:00+00:00,1066.3999999999996
2022-08-27 03:03:00+00:00,1077.3999999999996
2022-08-27 03:13:00+00:00,1066.3999999999996
2022-08-27 03:23:00+00:00,1060.3999999999996
2022-08-27 03:33:00+00:00,1046.3999999999996
2022-08-27 03:43:00+00:00,1037.3999999999996
2022-08-27 03:53:00+00:00,1024.3999999999996
2022-08-27 04:03:00+00:00,1016.3999999999996
2022-08-27 04:13:00+00:00,1022.3999999999996
2022-08-27 04:23:00+00:00,1036.3999999999996
2022-08-27 04:33:00+00:00,1051.3999999999996
2022-08-27 04:43:00+00:00,1059.3999999999996
2022-08-27 04:53:00+00:00,1063.3999999999996
2022-08-27 05:03:00+00:00,1074.3999999999996
2022-08-27 05:13:00+00:00,1078.3999999999996
2022-08-27 05:23:00+00:00,1072.3999999999996
2022-08-27 05:33:00+00:00,1064.3999999999996
2022-08-27 05:43:00+00:00,1062.3999999999996
